Question Number,Question Text,Response_Scale,Response_Options,Card_Number,Variable_Name
"Q1","Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Work",1,"v1"
"Q1","Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Family",1,"v2"
"Q1","Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Friends and acquaintances",1,"v3"
"Q1","Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Leisure time",1,"v4"
"Q1","Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Politics",1,"v5"
"Q1","Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Religion",1,"v6"
"Q2","Taking all things together, would you say you are…READ OUT…","1 (very happy) - 2 (quite happy) - 3 (not very happy) - 4 (not at all happy) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","very happy",2,"v7"
"Q3","All in all, how would you describe your state of health these days? Would you say it is…READ OUT…","1 (very good) - 2 (good) - 3 (fair) - 4 (poor) - 5 (very poor) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","very good",3,"v8"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","A Religious or church organisations",4,"v9"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","B Education, arts, music or cultural activities",4,"v10"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","C Trade union",4,"v11"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","D Political parties or groups",4,"v12"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","E Conservation, the environment, ecology, animal rights",4,"v13"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","F Professional associations",4,"v14"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","G Sports or recreation",4,"v15"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","H Humanitarian or charitable organisation",4,"v16"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","I Consumer organisation",4,"v17"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","J Self-help group, mutual aid group",4,"v18"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","K Other groups",4,"v19"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","None",4,"v20"
"Q5","Did you do voluntary work in the last 6 months?","1 (Yes) - 2 (No) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Yes",5,"v21"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","A People of a different race",6,"v22"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","B Heavy drinkers",6,"v23"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","C Immigrants/foreign workers",6,"v24"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","D Drug addicts",6,"v25"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","E Homosexuals",6,"v26"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","F Christians",6,"v27"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","G Muslims",6,"v28"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","H Jews",6,"v29"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","I Gypsies",6,"v30"
"Q7","Generally speaking, would you say that most people can be trusted or that you can’t be too careful in dealing with people?","1 (most people can be trusted) - 2 (can’t be too careful) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","most people can be trusted",7,"v31"
"Q8","I would like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Your family",8,"v32"
"Q8","I would like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","People in your neighbourhood",8,"v33"
"Q8","I would like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","People you know personally",8,"v34"
"Q8","I would like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","People you meet for the first time",8,"v35"
"Q8","I would like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","People of another religion",8,"v36"
"Q8","I would like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","People of another nationality",8,"v37"
"Q9","Some people feel they have completely free choice and control over their lives, and other people feel that what they do has no real effect on what happens to them. Please use the scale to indicate how much freedom of choice and control you feel you have over the way your life turns out?","1 (none at all) - 2 - 3 - 4 - 5 - 6 - 7 - 8 (Don't Know, DK) - 9 (Not Answer, NA)","none at all",9,"v38"
