Question Number,Question Text,Response_Scale,Response_Options,Card_Number,Variable_Name
"Q1","Por favor, indica qué tan importante es cada uno de los siguientes aspectos en tu vida.","1 (muy importante) - 2 (bastante importante) - 3 (no muy importante) - 4 (nada importante) - 8 (No Sabe, NS) - 9 (Sin Respuesta, SR)","Trabajo","1","v1"
"Q1","Por favor, indica qué tan importante es cada uno de los siguientes aspectos en tu vida.","1 (muy importante) - 2 (bastante importante) - 3 (no muy importante) - 4 (nada importante) - 8 (No Sabe, NS) - 9 (Sin Respuesta, SR)","Familia","1","v2"
"Q1","Por favor, indica qué tan importante es cada uno de los siguientes aspectos en tu vida.","1 (muy importante) - 2 (bastante importante) - 3 (no muy importante) - 4 (nada importante) - 8 (No Sabe, NS) - 9 (Sin Respuesta, SR)","Amigos y conocidos","1","v3"
"Q1","Por favor, indica qué tan importante es cada uno de los siguientes aspectos en tu vida.","1 (muy importante) - 2 (bastante importante) - 3 (no muy importante) - 4 (nada importante) - 8 (No Sabe, NS) - 9 (Sin Respuesta, SR)","Tiempo libre/de ocio","1","v4"
"Q1","Por favor, indica qué tan importante es cada uno de los siguientes aspectos en tu vida.","1 (muy importante) - 2 (bastante importante) - 3 (no muy importante) - 4 (nada importante) - 8 (No Sabe, NS) - 9 (Sin Respuesta, SR)","Política","1","v5"
"Q1","Por favor, indica qué tan importante es cada uno de los siguientes aspectos en tu vida.","1 (muy importante) - 2 (bastante importante) - 3 (no muy importante) - 4 (nada importante) - 8 (No Sabe, NS) - 9 (Sin Respuesta, SR)","Religión","1","v6"
"Q2","Teniendo todas las cosas en cuenta, ¿diría Vd. que es?:","1 (muy feliz) - 2 (bastante feliz) - 3 (no muy feliz) - 4 (nada feliz) - 8 (No sabe, NS) - 9 (Sin Respuesta, SR)","","2","v7"
"Q3","En líneas generales, ¿Cómo describiría Ud. su estado de salud en estos días?","1 (muy buena) - 2 (buena) - 3 (regular) - 4 (mala) - 5 (muy mala) - 8 (No sabe, NS) - 9 (Sin Respuesta, SR)","","3","v8"
"Q4","Por favor lea atentamente la siguiente lista de organizaciones de voluntariado y diga a cuál de ellas pertenece, en caso de que pertenezca a alguna","1 (no mencionado) - 2 (mencionado) - 8 (No sabe, NS) - 9 (Sin Respuesta, SR)","A Organizaciones religiosas o de iglesia","4","v9"
"Q4","Por favor lea atentamente la siguiente lista de organizaciones de voluntariado y diga a cuál de ellas pertenece, en caso de que pertenezca a alguna","1 (no mencionado) - 2 (mencionado) - 8 (No sabe, NS) - 9 (Sin Respuesta, SR)","B Actividades educativas, artísticas, musicales o culturales.","4","v10"
