"Question Number","Question Text","Response_Scale","Response_Options","Card_Number","Variable_Name"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Munka","1","v1"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Család","1","v2"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Barátok és ismerősök","1","v3"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Szabadidő","1","v4"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Politika","1","v5"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Vallás","1","v6"
"Q2","Mindent összevetve, mit mondana magáról, Ön","1 - nagyon boldog, 2 - meglehetősen boldog, 3 - nem nagyon boldog, 4 - egyáltalán nem boldog, 8 - Nem tudja, 9 - Nincs válasz","","2","v7"
"Q3","Mindent egybevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","1 - nagyon jó, 2 - jó, 3 - Elég jó, elfogadható, 4 - nem nagyon jó, 5 - nagyon rossz, 8 - Nem tudja, 9 - Nincs válasz","","3","v8"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","A Vallási vagy egyházi szervezetek","4","v9"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","B Oktatási, művészeti, zenei vagy kulturális tevékenység","4","v10"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","C Szakszervezet","4","v11"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","D Politikai párt vagy csoport","4","v12"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","E Környezetvédelem, az élővilág megőrzése, állatok jogai","4","v13"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","F Szakmai szervezet","4","v14"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","G Sport vagy aktív pihenés","4","v15"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","H Humanitárius vagy jótékonysági szervezet","4","v16"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","I Fogyasztói érdekvédelmi szervezet","4","v17"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","J Önsegítő csoport, kölcsönös segítségnyújtásra irányuló csoport","4","v18"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","K Más csoportok","4","v19"
"Q4","Mindent összevetve, hogyan tudná Ön a mostani egészségi állapotát jellemezni? Azt mondaná, hogy:","nem említette, NV, NT","L Egyik sem","4","v20"
"Q5","Végzett-e önkéntes munkát az elmúlt hat hónapban?","1 - igen, 2 - nem, 8 - Nem tudja, 9 - Nincs válasz","","v21"
"Q6","Ezen a listán különböző típusú emberek vannak. Ki tudná választani azokat, akiket Ön nem szeretne szomszédainak, ha vannak ilyenek?","említette, nem említette, NT, NV","A Más fajhoz tartozó emberek","6","v22"
"Q6","Ezen a listán különböző típusú emberek vannak. Ki tudná választani azokat, akiket Ön nem szeretne szomszédainak, ha vannak ilyenek?","említette, nem említette, NT, NV","B Erősen iszákosak","6","v23"
