```csv
"Question Number","Question Text","Response_Scale","Response_Options","Card_Number","Variable_Name"
"Q1","Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?","1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)","Работа","1","v1"
"Q1","Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?","1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)","Семья","1","v2"
"Q1","Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?","1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)","Друзья, знакомые","1","v3"
"Q1","Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?","1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)","Свободное время","1","v4"
"Q1","Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?","1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)","Политика","1","v5"
"Q1","Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?","1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)","Религия","1","v6"
"Q2","Говоря в целом, можете ли Вы сказать, что Вы:","1 (Очень счастливы) - 2 (Довольно счастливы) - 3 (Не очень счастливы) - 4 (Совсем не счастливы) - 8 (Затрудняюсь ответить /НЕ ЧИТАТЬ/) - 9 (Отказ от ответа /НЕ ЧИТАТЬ/)","","2","v7"
"Q3","Как Вы оцениваете состояние своего здоровья на сегодняшний день? По Вашему мнению, оно …","1 (Очень хорошее) - 2 (Хорошее) - 3 (Удовлетворительное) - 4 (Плохое) - 5 (Очень плохое) - 8 (Затрудняюсь ответить /НЕ ЧИТАТЬ/) - 9 (Отказ от ответа /НЕ ЧИТАТЬ/)","","3","v8"
"Q4","Пожалуйста, просмотрите внимательно этот список общественных организаций и скажите, являетесь ли Вы членом какой-либо из них?","01.Религиозные или церковные организации - 02.Организации, связанные с образованием, искусством, музыкой, культурной деятельностью - 03.Профсоюзы - 04.Политические партии или группы - 05.Организации по охране окружающей среды, экологические организации, защита животных - 06.Профессиональные ассоциации или объединения - 07.Спортивные организации или организации, связанные с проведением досуга - 08.Гуманитарные или благотворительные организации - 09.Организации по защите прав потребителей - 10.Группы самопомощи, взаимопомощи, такие, например, как Общество анонимных алкоголиков - 97.Другие организации или объединения - 96.Никакие - 98.Затрудняюсь ответить - 99.Отказ от ответа","","4","v9"
"Q5","Приходилось ли Вам принимать участие в добровольной общественной деятельности за последние 6 месяцев?","1 (Да) - 2 (Нет) - 8 (Затрудняюсь ответить) - 9 (Отказ от ответа)","","5","v10"
