```csv
"Question Number","Question Text","Response_Scale","Response_Options","Card_Number","Variable_Name"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Munka","1","v1"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Család","1","v2"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Barátok és ismerősök","1","v3"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Szabadidő","1","v4"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Politika","1","v5"
"Q1","Kérem mondja meg, hogy a következők mennyire fontosak az Ön életében?","1 - nagyon fontos, 2 - elég fontos, 3 - nem fontos, 4 - egyáltalán nem fontos, 8 - Nem tudom, 9 - Nem válaszolt","Vallás","1","v6"
"Q2","Összességében azt mondaná-e magáról, hogy:","1 - nagyon boldog, 2 - boldog, 3 - nem túl boldog, 4 - egyáltalán nem boldog, 8 - Nem tudom, 9 - Nem válaszolt","","2","v7"
"Q3","Összességében hogyan írná le egészségi állapotát mostanában? Azt mondaná-e:","1 - nagyon jó, 2 - jó, 3 - kielégítő, 4 - rossz, 5 - nagyon rossz, 8 - Nem tudom, 9 - Nem válaszolt","","3","v8"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","","","4",""
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Verseny vagy egyházi szervezet","4","v9"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Oktatási, művészeti, zenei vagy kulturális tevékenység","4","v10"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Szakszervezet","4","v11"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Politikai párt vagy csoport","4","v12"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","A környezet védelmével, ökológiával, állatjogokkal foglalkozó szervezet","4","v13"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Szakmai egyesület","4","v14"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Sport- vagy rekreációs szervezet","4","v15"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Humanitárius vagy jótékonysági szervezet","4","v16"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Fogyasztóvédelmi egyesület","4","v17"
"Q4","Kérem figyeljen! Ezek a válaszlehetőségek mindig spontának számítanak, ezért nem találhatók a kártyákon és nem olvassák fel a válaszadónak.","1 - megemlítve, 2 - nem említve, 8 - Nem tudom, 9 - Nem válaszolt","Önsegítő csoport, kölcsönös segítő csoport","4","v18"
