```csv
"Question Number","Question Text","Response_Scale","Response_Options","Card_Number","Variable_Name"
"Q1","Prosím, řekněte, jak moc je každý z následujících aspektů důležitý ve vašem životě.","1 (velmi důležité) - 2 (docela důležité) - 3 (nedůležité) - 4 (vůbec nedůležité) - 8 (Nevím, NS) - 9 (Bez odpovědi, SR)","Práce","1","v1"
"Q1","Prosím, řekněte, jak moc je každý z následujících aspektů důležitý ve vašem životě.","1 (velmi důležité) - 2 (docela důležité) - 3 (nedůležité) - 4 (vůbec nedůležité) - 8 (Nevím, NS) - 9 (Bez odpovědi, SR)","Rodina","1","v2"
"Q1","Prosím, řekněte, jak moc je každý z následujících aspektů důležitý ve vašem životě.","1 (velmi důležité) - 2 (docela důležité) - 3 (nedůležité) - 4 (vůbec nedůležité) - 8 (Nevím, NS) - 9 (Bez odpovědi, SR)","Přátelé a známí","1","v3"
"Q1","Prosím, řekněte, jak moc je každý z následujících aspektů důležitý ve vašem životě.","1 (velmi důležité) - 2 (docela důležité) - 3 (nedůležité) - 4 (vůbec nedůležité) - 8 (Nevím, NS) - 9 (Bez odpovědi, SR)","Volný čas","1","v4"
"Q1","Prosím, řekněte, jak moc je každý z následujících aspektů důležitý ve vašem životě.","1 (velmi důležité) - 2 (docela důležité) - 3 (nedůležité) - 4 (vůbec nedůležité) - 8 (Nevím, NS) - 9 (Bez odpovědi, SR)","Politika","1","v5"
"Q1","Prosím, řekněte, jak moc je každý z následujících aspektů důležitý ve vašem životě.","1 (velmi důležité) - 2 (docela důležité) - 3 (nedůležité) - 4 (vůbec nedůležité) - 8 (Nevím, NS) - 9 (Bez odpovědi, SR)","Náboženství","1","v6"
"Q2","Prosím, řekněte, jak moc jste šťastný/á?","1 (Velmi šťastný/á) - 2 (Celkem šťastný/á) - 3 (Ne moc šťastný/á) - 4 (Vůbec ne šťastný/á) - 8 (Neví) - 9 (Neodpovídl/a)","","2","v7"
"Q3","Prosím, řekněte, jak moc byste popsal/a svůj současný zdravotní stav?","1 (Velmi dobrý) - 2 (Dobrý) - 3 (Ucházející) - 4 (Špatný) - 5 (Velmi špatný) - 8 (Neví) - 9 (Neodpovídl/a)","","3","v8"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","A Náboženské nebo církevní organizace","4","v9"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","B Vzdělávací, umělecké, hudební nebo kulturní aktivity","4","v10"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","C Odbory","4","v11"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","D Politické strany nebo hnutí","4","v12"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","E Ochrana životního prostředí, ekologická hnutí, práva zvířat","4","v13"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","F Sdružení podle povolání, profesní asociace","4","v14"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","G Sport nebo zábava","4","v15"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","H Humanitární nebo charitativní organizace","4","v16"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","I Spotřebitelské organizace (např. Sdružení obrany spotřebitel)","4","v17"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","J Skupiny svépomoci a vzájemné pomoci","4","v18"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","K Jiné skupiny","4","v19"
"Q4","Prosím prohlédněte si pečlivě seznam dobrovolných organizací a řekněte, ke kterým z nich náležíte?","1 (Zmínil/a) - 2 (Nezmínil/a) - 8 (Neví) - 9 (Bez odpovědi)","L Žádné","4","v20"
"Q5","Dělal/a jste dobrovolnou práci v posledních 6 měsících?","1 (Ano) - 2 (Ne) - 8 (Neví) - 9 (Neodpovídl/a)","","4","v21"
