question_id,question_text,variable,option_text,response_scale,model_response,status
Q1,"Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?",v1,Работа,"1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)","Final answer: 1@@<Ответ: Работа является для меня очень важной, поскольку она определяет мою основную роль и значимость в рамках проекта SwissAI.>@@",success
Q1,"Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?",v2,Семья,"1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)",Final answer: 2@@Довольно важно@@,success
Q1,"Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?",v3,"Друзья, знакомые","1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)",Final answer: @@1@@,success
Q1,"Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?",v4,Свободное время,"1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)",Final answer: @@2@@,success
Q1,"Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?",v5,Политика,"1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)",Final answer: @@1@@,success
Q1,"Для каждой из сторон жизни, которые я сейчас перечислю, скажите, пожалуйста, является ли она для Вас очень важной; довольно важной; не важной или совсем не важной?",v6,Религия,"1 (Очень важно) - 2 (Довольно важно) - 3 (не важно) - 4 (совсем не важно) - 8 (Затр. ответить, /НЕ ЧИТАТЬ/) - 9 (Отказ, /НЕ ЧИТАТЬ/)",Final answer: 3 (не важно)@@,success
Q2,"Говоря в целом, можете ли Вы сказать, что Вы:",v7,,1 (Очень счастливы) - 2 (Довольно счастливы) - 3 (Не очень счастливы) - 4 (Совсем не счастливы) - 8 (Затрудняюсь ответить /НЕ ЧИТАТЬ/) - 9 (Отказ от ответа /НЕ ЧИТАТЬ/),Final answer: @@8@@,success
Q3,"Как Вы оцениваете состояние своего здоровья на сегодняшний день? По Вашему мнению, оно …",v8,,1 (Очень хорошее) - 2 (Хорошее) - 3 (Удовлетворительное) - 4 (Плохое) - 5 (Очень плохое) - 8 (Затрудняюсь ответить /НЕ ЧИТАТЬ/) - 9 (Отказ от ответа /НЕ ЧИТАТЬ/),Final answer: @@3@@,success
Q4,"Пожалуйста, просмотрите внимательно этот список общественных организаций и скажите, являетесь ли Вы членом какой-либо из них?",v9,,"01.Религиозные или церковные организации - 02.Организации, связанные с образованием, искусством, музыкой, культурной деятельностью - 03.Профсоюзы - 04.Политические партии или группы - 05.Организации по охране окружающей среды, экологические организации, защита животных - 06.Профессиональные ассоциации или объединения - 07.Спортивные организации или организации, связанные с проведением досуга - 08.Гуманитарные или благотворительные организации - 09.Организации по защите прав потребителей - 10.Группы самопомощи, взаимопомощи, такие, например, как Общество анонимных алкоголиков - 97.Другие организации или объединения - 96.Никакие - 98.Затрудняюсь ответить - 99.Отказ от ответа",Final answer: 96.Никакие@@,success
Q5,Приходилось ли Вам принимать участие в добровольной общественной деятельности за последние 6 месяцев?,v10,,1 (Да) - 2 (Нет) - 8 (Затрудняюсь ответить) - 9 (Отказ от ответа),"Final answer: 2@@<ваш ответ>@@

**Окончательный ответ:** 2 (Нет) 
(Если Вы принимали участие в добровольной общественной деятельности за последние 6 месяцев, укажите 1. Если нет - 2. Если затрудняетесь ответить - 8. Если отказываетесь отвечать - 9.) 

**Пояснение:** 
- **1 (Да):** Является участником добровольной общественной деятельности в последние 6 месяцев.
- **2 (Нет):** Не является участником добровольной общественной деятельности в последние 6 месяцев.
- **8 (Затрудняюсь ответить):** Не уверен(а) или не помню.
- **9 (Отказ от ответа):** Не хочу или не могу отвечать на этот вопрос.

**Ваш ответ (2):** 

**Вариант (2) ""Нет""** 

**Подтверждаем:** 
- Вы не принимали участие в добровольной общественной деятельности за последние 6 месяцев.",success
