question_id,question_text,variable,option_text,response_scale,model_response,status
Q1,"Please say, for each of the following, how important it is in your life.",v1,Work,"1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 2,success
Q1,"Please say, for each of the following, how important it is in your life.",v2,Family,"1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 3,success
Q1,"Please say, for each of the following, how important it is in your life.",v3,Friends and acquaintances,"1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 2,success
Q1,"Please say, for each of the following, how important it is in your life.",v4,Leisure time,"1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 3,success
Q1,"Please say, for each of the following, how important it is in your life.",v5,Politics,"1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","I'm sorry, but I'm not sure what you'd like me to do with the response scale you provided. Could you please clarify the question or provide more information about how you'd like me to respond?",success
Q1,"Please say, for each of the following, how important it is in your life.",v6,Religion,"1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 2,success
Q2,"Taking all things together, would you say you are…READ OUT…",v7,very happy,"1 (very happy) - 2 (quite happy) - 3 (not very happy) - 4 (not at all happy) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 7,success
Q3,"All in all, how would you describe your state of health these days? Would you say it is…READ OUT…",v8,very good,"1 (very good) - 2 (good) - 3 (fair) - 4 (poor) - 5 (very poor) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 8 (very good),success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v9,A Religious or church organisations,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v10,"B Education, arts, music or cultural activities","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v11,C Trade union,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v12,D Political parties or groups,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v13,"E Conservation, the environment, ecology, animal rights","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 2,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v14,F Professional associations,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v15,G Sports or recreation,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v16,H Humanitarian or charitable organisation,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v17,I Consumer organisation,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v18,"J Self-help group, mutual aid group","1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v19,K Other groups,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?",v20,,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q5,Did you do voluntary work in the last 6 months?,v21,Yes,"1 (Yes) - 2 (No) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v22,A People of a different race,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v23,B Heavy drinkers,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v24,C Immigrants/foreign workers,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v25,D Drug addicts,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v26,E Homosexuals,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v27,F Christians,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v28,G Muslims,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 2,success
Q6,On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,v29,H Jews,"1 (mentioned) - 2 (not mentioned) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Final answer: 1,success
