Question Number,Question Text,Variable_Name,Response_Scale,Response_Options,Card_Number
"Q1","Digame, por favor, qué grado de importancia tiene en su vida cada uno de los siguientes aspectos:","v1","1 (muy importante) - 4 (nada importante)","1 (muy importante), 2 (bastante importante), 3 (no muy importante), 4 (nada importante), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q1","Digame, por favor, qué grado de importancia tiene en su vida cada uno de los siguientes aspectos:","v2","1 (muy importante) - 4 (nada importante)","1 (muy importante), 2 (bastante importante), 3 (no muy importante), 4 (nada importante), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q1","Digame, por favor, qué grado de importancia tiene en su vida cada uno de los siguientes aspectos:","v3","1 (muy importante) - 4 (nada importante)","1 (muy importante), 2 (bastante importante), 3 (no muy importante), 4 (nada importante), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q1","Digame, por favor, qué grado de importancia tiene en su vida cada uno de los siguientes aspectos:","v4","1 (muy importante) - 4 (nada importante)","1 (muy importante), 2 (bastante importante), 3 (no muy importante), 4 (nada importante), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q1","Digame, por favor, qué grado de importancia tiene en su vida cada uno de los siguientes aspectos:","v5","1 (muy importante) - 4 (nada importante)","1 (muy importante), 2 (bastante importante), 3 (no muy importante), 4 (nada importante), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q1","Digame, por favor, qué grado de importancia tiene en su vida cada uno de los siguientes aspectos:","v6","1 (muy importante) - 4 (nada importante)","1 (muy importante), 2 (bastante importante), 3 (no muy importante), 4 (nada importante), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q2","Teniendo todas las cosas en cuenta, ¿diría Vd. que es?:","v7","1 (muy feliz) - 9 (Not Answer, NA)","1 (muy feliz), 2 (bastante feliz), 3 (no muy feliz), 4 (nada feliz), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q3","En líneas generales, ¿Cómo describiría Ud. su estado de salud en estos días? Diría que es:","v8","1 (muy buena) - 9 (Not Answer, NA)","1 (muy buena), 2 (buena), 3 (regular), 4 (mala), 5 (muy mala), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q4","Por favor lea atentamente la siguiente lista de organizaciones de voluntariado y diga a cuál de ellas pertenece, en caso de que pertenezca a alguna:","v9","1 (mencionado) - 9 (Not Answer, NA)","1 (mencionado), 2 (no mencionado), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q4","Por favor lea atentamente la siguiente lista de organizaciones de voluntariado y diga a cuál de ellas pertenece, en caso de que pertenezca a alguna:","v10","1 (mencionado) - 9 (Not Answer, NA)","1 (mencionado), 2 (no mencionado), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q4","Por favor lea atentamente la siguiente lista de organizaciones de voluntariado y diga a cuál de ellas pertenece, en caso de que pertenezca a alguna:","v11","1 (mencionado) - 9 (Not Answer, NA)","1 (mencionado), 2 (no mencionado), 8 (Don't Know, DK), 9 (Not Answer, NA)"
"Q4","Por favor lea atentamente la siguiente lista de organizaciones de voluntariado y diga a cuál de ellas pertenece, en caso de que pertenezca a alguna:","v12","1 (mencionado) - 9 (Not Answer, NA)","1 (mencionado), 2 (no mencionado), 8 (Don't Know, DK), 9 (Not Answer, NA)"
