"Question Number","Question Text","Variable Name","Response Scale","Answer Options"
"Q1","Please say, for each of the following, how important it is in your life.","v1","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Work,Family,Friends and acquaintances,Leisure time,Politics,Religion"
"Q2","Taking all things together, would you say you are… READ OUT…","v2","1 (very happy) - 2 (quite happy) - 3 (not very happy) - 4 (not at all happy) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Very happy,Quite happy,Not very happy,Not at all happy"
"Q3","All in all, how would you describe your state of health these days? Would you say it is… READ OUT…","v3","1 (very good) - 2 (good) - 3 (fair) - 4 (poor) - 5 (very poor) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Very good,Good,Fair,Poor,Very poor"
"Q4","Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to? CODE ALL THAT APPLY","v4","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)","Religious or church organisations,Education, arts, music or cultural activities,Trade union,Political parties or groups,Conservation, the environment, ecology, animal rights,Professional associations,Sports or recreation,Humanitarian or charitable organisation,Consumer organisation,Self-help group, mutual aid group,Other groups"
"Q5","Did you do voluntary work in the last 6 months?","v5","1 (Yes) - 2 (No) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Yes,No"
"Q6","On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","v6","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)","People of a different race,Heavy drinkers,Immigrants/foreign workers,Drug addicts,Homosexuals,Christians,Muslims,Jews,Gipsies"
"Q7","Generally speaking, would you say that most people can be trusted or that you can’t be too careful in dealing with people?","v7","1 (most people can be trusted) - 2 (can’t be too careful) - 8 (Don't Know, DK) - 9 (Not Answer, NA)","Most people can be trusted,Can’t be too careful"
"Q8","I would like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?","v8","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (DK) - 9 (NA)","Your family,People in your neighbourhood,People you know personally,People you meet for the first time,People of another religion,People of another nationality"
"Q9","Some people feel they have completely free choice and control over their lives, and other people feel that what they do has no real effect on what happens to them. Please use the scale to indicate how much freedom of choice and control you feel you have over the way your life turns out?","v9","1 (none at all) - 10 (a great deal) - 8 (DK) - 9 (NA)","None at all,A great deal"
"Q10","All things considered, how satisfied are you with your life as a whole these days? Please use this card to help with your answer.","v10","1 (dissatisfied) - 10 (satisfied) - 8 (DK) - 9 (NA)","Dissatisfied,Satisfied"
