Question_ID,Question_Text,Variable,Option_Text,Response_Scale
Q1,"Please say, for each of the following, how important it is in your life.",v1,"Trabajo",1-4
Q1,"Please say, for each of the following, how important it is in your life.",v2,"Familia",1-4
Q1,"Please say, for each of the following, how important it is in your life.",v3,"Amigos y conocidos",1-4
Q1,"Please say, for each of the following, how important it is in your life.",v4,"Tiempo libre/de ocio",1-4
Q1,"Please say, for each of the following, how important it is in your life.",v5,"Política",1-4
Q1,"Please say, for each of the following, how important it is in your life.",v6,"Religión",1-4
Q2,"Taking everything into account, would you say that you are?",v7,"¿diría Vd. que es?",1-4
Q3,"In general, how would you describe your state of health these days? Say",v8,"¿Cómo describiría Ud. su estado de salud en estos días?",1-5
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v9,"Organizaciones religiosas o de iglesia",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v10,"Actividades educativas, artísticas, musicales o culturales.",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v11,"Sindicatos",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v12,"Partidos o grupos políticos",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v13,"Conservación y protección del medio ambiente, Ecología, derechos de los animales.",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v14,"Asociaciones profesionales",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v15,"Deportes o actividades recreativas.",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v16,"Organizaciones humanitarias o de caridad",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v17,"Organizaciones de consumidores",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v18,"Organizaciones de ayuda mutua",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v19,"Otros grupos",1-2
Q4,"Please read the following list of voluntary organizations and say which of them you belong to, if you belong to any.",v20,"Ninguna (respuesta espontánea)",1-2
Q5,"Have you participated in voluntary work in the last 6 months?",v21,"¿Ha participado en labores de voluntariado en los últimos 6 meses?",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v22,"Gente de otra raza",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v23,"Gente dada a la bebida",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v24,"Trabajadores inmigrantes/extranjeros",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v25,"Drogadictos",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v26,"Homosexuales",1-2
Q6,"In the following list, there are various groups of people. Could you identify any to which you would not like to have as a neighbour?",v27,"Cristianos",1-2
