Question Number,Question Text,Response_Scale,Response_Options,Card_Number,Variable_Name
Q1,"Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Work,1,v1
Q1,"Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Family,1,v2
Q1,"Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Friends and acquaintances,1,v3
Q1,"Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Leisure time,1,v4
Q1,"Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Politics,1,v5
Q1,"Please say, for each of the following, how important it is in your life.","1 (very important) - 2 (quite important) - 3 (not important) - 4 (not at all important) - 8 (Don't Know, DK) - 9 (Not Answer, NA)",Religion,1,v6
Q2,"Taking all things together, would you say you are…READ OUT…","1 (very happy) - 2 (quite happy) - 3 (not very happy) - 4 (not at all happy) - 8 (Don't Know, DK) - 9 (No answer, NA)",,2,
Q3,"All in all, how would you describe your state of health these days? Would you say it is…READ OUT…","1 (very good) - 2 (good) - 3 (fair) - 4 (poor) - 5 (very poor) - 8 (Don't Know, DK) - 9 (No answer, NA)",,3,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",A - Religious or church organisations,4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)","B - Education, arts, music or cultural activities",4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",C - Trade unions,4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",D - Political parties or groups,4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)","E - Conservation, the environment, ecology, animal rights",4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",F - Professional associations,4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",G - Sports or recreation,4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",H - Humanitarian or charitable organisation,4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",I - Consumer organisation,4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)","J - Self-help group, mutual aid group",4,
Q4,"Please look carefully at the following list of voluntary organisations and say which, if any, do you belong to?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",K - Other groups,4,
Q5,"Did you do voluntary work in the last 6 months?","1 (Yes) - 2 (No) - 8 (Don't Know, DK) - 9 (No answer, NA)",,5,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",A - People of a different race,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",B - Heavy drinkers,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",C - Immigrants/foreign workers,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",D - Drug addicts,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",E - Homosexuals,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",F - Christians,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",G - Muslims,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",H - Jews,6,
Q6,"On this list are various groups of people. Could you identify any that you would not like to have as neighbours?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",I - Gypsies,6,
Q7,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?","1 (most people can be trusted) - 2 (can't be too careful) - 8 (Don't Know, DK) - 9 (No answer, NA)",,7,
Q8,"I would like to ask you how much trust you trust people from various groups. Could you tell me for each whether you trust them completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (DK) - 9 (NA)",Your family,8,
Q8,"I would like to ask you how much trust you trust people from various groups. Could you tell me for each whether you trust them completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (DK) - 9 (NA)",People in your neighbourhood,8,
Q8,"I would like to ask you how much trust you trust people from various groups. Could you tell me for each whether you trust them completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (DK) - 9 (NA)",People you know personally,8,
Q8,"I would like to ask you how much trust you trust people from various groups. Could you tell me for each whether you trust them completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (DK) - 9 (NA)",People you meet for the first time,8,
Q8,"I would like to ask you how much trust you trust people from various groups. Could you tell me for each whether you trust them completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (DK) - 9 (NA)",People of another religion,8,
Q8,"I would like to ask you how much trust you trust people from various groups. Could you tell me for each whether you trust them completely, somewhat, not very much or not at all?","1 (Trust completely) - 2 (Trust somewhat) - 3 (Do not trust very much) - 4 (Do not trust at all) - 8 (DK) - 9 (NA)",People of another nationality,8,
Q9,"Some people feel they have completely free choice and control over their lives, and other people feel that what they do has no real effect on what happens to them. Please use the scale to indicate how much freedom of choice and control you feel you have over the way your life turns out?","1 (none at all) - 2 (a little) - 3 (some) - 4 (quite a bit) - 5 (a great deal) - 8 (DK) - 9 (NA)",,9,
Q10,"All things considered, how satisfied are you with your life as a whole these days? Please use this card to help with your answer.","1 (dissatisfied) - 2 (3) - 3 (4) - 4 (5) - 5 (6) - 6 (7) - 7 (8) - 8 (DK) - 9 (NA)",,10,
Q11,"Here are some aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",A - Good pay,11,
Q11,"Here are some aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",B - Good hours,11,
Q11,"Here are some aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",C - An opportunity to use initiative,11,
Q11,"Here are some aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",D - Generous holidays,11,
Q11,"Here are some aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job?","1 (mentioned) - 2 (not mentioned) - 8 (DK) - 9 (NA)",E - A job in which you feel you can achieve something,11,
